# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.5 1000.0 -1.4 4.4739e+42 1.1929e+42 6.9394e+42 2.0888e+43 1.1076e+42 1.0017e+42 3.457e+42 2.956e+42 9.0914e+41 8.8347e+41 1.987e+41 5.6416e+41 4.1435e+41 3.3381e+42 9.9404e+40 2.433e+41 3.0855e+40 1.913e+40 1.3052e+42 8.7818e+41
-2.5 0.5 1000.0 -1.7 2.6233e+42 9.4564e+41 4.322e+42 1.3009e+43 3.6015e+41 5.815e+41 2.7489e+42 1.716e+42 4.8122e+41 5.157e+41 4.6069e+40 1.7888e+41 1.2641e+41 1.9225e+42 3.2838e+40 8.0277e+40 1.447e+40 9.0761e+39 5.0998e+41 3.4372e+41
-2.5 0.5 1000.0 -2.0 1.6164e+42 7.4397e+41 2.423e+42 7.2934e+42 1.4078e+41 3.7782e+41 2.1806e+42 1.1149e+42 2.9418e+41 3.3676e+41 2.0097e+40 4.9866e+40 3.7538e+40 9.973e+41 9.0943e+39 2.2224e+40 6.5471e+39 4.2302e+39 1.7375e+41 1.173e+41
-2.5 0.5 10000.0 -1.2 7.7073e+42 2.3235e+42 1.2431e+43 3.7416e+43 3.9303e+42 3.427e+42 6.7538e+42 1.0113e+43 1.7073e+42 2.4927e+42 1.8758e+40 2.7836e+41 1.623e+41 4.745e+42 1.282e+41 3.1497e+41 8.0243e+40 7.0526e+40 1.7971e+42 1.5328e+42
-2.5 0.5 10000.0 -1.4 5.9052e+42 2.0617e+42 9.3615e+42 2.8178e+43 2.1931e+42 2.6299e+42 5.9785e+42 7.7608e+42 1.1133e+42 1.7302e+42 1.3327e+40 1.1566e+41 6.8528e+40 3.5343e+42 6.5316e+40 1.605e+41 5.0544e+40 4.4941e+40 1.0151e+42 8.7209e+41
-2.5 0.5 10000.0 -1.7 3.9967e+42 1.6142e+42 5.0943e+42 1.5334e+43 9.3824e+41 1.8407e+42 4.6895e+42 5.432e+42 6.6018e+41 1.1114e+42 5.9718e+39 2.8172e+40 1.9833e+40 1.9467e+42 1.8992e+40 4.67e+40 1.9929e+40 1.8037e+40 3.6664e+41 3.1751e+41
-2.5 0.5 10000.0 -2.0 2.7459e+42 1.2008e+42 2.4031e+42 7.2334e+42 4.7911e+41 1.3684e+42 3.5001e+42 4.0382e+42 4.4843e+41 7.9397e+41 1.1652e+39 1.2509e+40 1.0418e+40 9.6035e+41 5.0888e+39 1.2524e+40 6.8292e+39 6.2817e+39 1.283e+41 1.1165e+41
-2.0 0.1 100.0 -1.2 2.3133e+42 1.4225e+42 8.8935e+42 2.6769e+43 4.5229e+41 3.7623e+41 4.171e+42 1.1103e+42 3.7998e+41 2.8284e+41 6.5102e+41 1.6457e+42 8.5937e+41 4.7162e+42 9.018e+40 2.1587e+41 8.2937e+40 4.9802e+40 1.1608e+42 7.6066e+41
-2.0 0.1 100.0 -1.4 1.3954e+42 1.2389e+42 6.2607e+42 1.8845e+43 1.2302e+41 2.0781e+41 3.6442e+42 6.1326e+41 2.2338e+41 1.6998e+41 3.2781e+41 8.1146e+41 4.3448e+41 3.5083e+42 3.6457e+40 8.6743e+40 3.8385e+40 2.3747e+40 5.2161e+41 3.4192e+41
-2.0 0.1 100.0 -1.7 7.3564e+41 9.7607e+41 3.1252e+42 9.4068e+42 3.6452e+40 1.1265e+41 2.9041e+42 3.3242e+41 1.2519e+41 9.696e+40 1.0101e+41 2.4503e+41 1.3508e+41 1.988e+42 7.9978e+39 1.8839e+40 1.0665e+40 7.9022e+39 1.3454e+41 8.8324e+40
-2.0 0.1 100.0 -2.0 4.0514e+41 7.5999e+41 1.3644e+42 4.1069e+42 1.9729e+40 6.6699e+40 2.2988e+42 1.9683e+41 7.7677e+40 6.02e+40 3.2664e+40 6.0537e+40 4.0184e+40 1.0438e+42 1.7823e+39 4.1543e+39 2.9152e+39 3.8708e+39 3.2879e+40 2.176e+40
-2.0 0.1 1000.0 -1.2 3.4411e+42 2.1105e+42 1.494e+43 4.4971e+43 7.4761e+41 6.4924e+41 6.1752e+42 1.9159e+42 4.9246e+41 5.0884e+41 1.8667e+41 1.8402e+42 8.869e+41 5.2833e+42 1.3493e+41 3.2255e+41 1.4866e+41 9.3221e+40 1.9214e+42 1.2947e+42
-2.0 0.1 1000.0 -1.4 2.3299e+42 1.8948e+42 1.0759e+43 3.2385e+43 2.4168e+41 3.9151e+41 5.5666e+42 1.1554e+42 2.8499e+41 3.2287e+41 5.5186e+40 6.2615e+41 3.0804e+41 3.8751e+42 5.4134e+40 1.2906e+41 8.1884e+40 5.2439e+40 9.2484e+41 6.2431e+41
-2.0 0.1 1000.0 -1.7 1.4414e+42 1.5136e+42 5.6115e+42 1.6891e+43 8.0067e+40 2.4677e+41 4.4855e+42 7.2822e+41 1.6403e+41 2.04e+41 2.4813e+40 9.1934e+40 5.2956e+40 2.1205e+42 1.0757e+40 2.5649e+40 3.1168e+40 2.1669e+40 2.535e+41 1.7164e+41
-2.0 0.1 1000.0 -2.0 9.1196e+41 1.1509e+42 2.6615e+42 8.011e+42 4.9001e+40 1.7679e+41 3.4399e+42 5.2172e+41 1.1903e+41 1.5019e+41 1.7364e+40 2.737e+40 2.1114e+40 1.0568e+42 2.0566e+39 4.9257e+39 1.094e+40 9.4195e+39 6.3912e+40 4.3464e+40
-2.0 0.1 10000.0 -1.2 6.7232e+42 2.9816e+42 1.6035e+43 4.8265e+43 2.3201e+42 2.3488e+42 8.7675e+42 6.9312e+42 7.0495e+41 1.2133e+42 1.4518e+40 2.0177e+41 1.092e+41 4.8895e+42 7.3475e+40 1.7987e+41 2.9248e+41 2.644e+41 1.5366e+42 1.3372e+42
-2.0 0.1 10000.0 -1.4 4.9212e+42 2.5838e+42 1.1537e+43 3.4727e+43 1.0631e+42 1.6813e+42 7.5898e+42 4.9614e+42 4.4862e+41 8.2045e+41 1.2386e+40 7.7641e+40 4.5669e+40 3.5994e+42 3.416e+40 8.3675e+40 1.6829e+41 1.5431e+41 7.9158e+41 6.9429e+41
-2.0 0.1 10000.0 -1.7 3.2036e+42 1.9347e+42 5.9061e+42 1.7777e+43 4.398e+41 1.1826e+42 5.6841e+42 3.4897e+42 2.8033e+41 5.492e+41 6.0484e+39 2.2026e+40 1.679e+40 1.9527e+42 9.0384e+39 2.2177e+40 5.8113e+40 5.4594e+40 2.5207e+41 2.2322e+41
-2.0 0.1 10000.0 -2.0 2.0835e+42 1.3788e+42 2.6133e+42 7.866e+42 2.4801e+41 8.8676e+41 4.0609e+42 2.6168e+42 2.0747e+41 4.1612e+41 1.1772e+39 1.2221e+40 1.0754e+40 9.5275e+41 2.2074e+39 5.426e+39 1.6874e+40 1.6327e+40 7.5914e+40 6.7773e+40
-2.0 0.3 100.0 -1.2 3.8181e+42 7.7171e+41 5.1822e+42 1.5598e+43 1.5057e+42 7.4623e+41 2.2705e+42 2.2021e+42 6.4932e+41 4.6778e+41 8.6979e+41 1.1215e+42 7.1728e+41 3.3026e+42 1.5243e+41 3.7124e+41 6.5563e+40 3.8885e+40 1.6769e+42 1.0985e+42
-2.0 0.3 100.0 -1.4 2.1049e+42 6.1776e+41 4.1667e+42 1.2542e+43 6.9196e+41 3.8621e+41 1.7941e+42 1.1397e+42 3.7337e+41 2.7189e+41 4.8912e+41 6.8364e+41 4.3275e+41 2.5762e+42 8.244e+40 2.0025e+41 3.9025e+40 2.3219e+40 9.2851e+41 6.0835e+41
-2.0 0.3 100.0 -1.7 9.0616e+41 4.6043e+41 2.6131e+42 7.8653e+42 1.5129e+41 1.4677e+41 1.3363e+42 4.3311e+41 1.6235e+41 1.2127e+41 1.7354e+41 2.6809e+41 1.721e+41 1.5727e+42 2.4986e+40 6.0349e+40 1.4066e+40 8.5471e+39 3.0956e+41 2.0288e+41
-2.0 0.3 100.0 -2.0 4.8191e+41 3.665e+41 1.4551e+42 4.3799e+42 3.2e+40 7.555e+40 1.0764e+42 2.2295e+41 8.4249e+40 6.4563e+40 5.3784e+40 9.0088e+40 5.9466e+40 8.7983e+41 6.306e+39 1.5122e+40 4.5994e+39 3.124e+39 9.2257e+40 6.0518e+40
-2.0 0.3 1000.0 -1.2 4.7686e+42 1.4216e+42 1.1349e+43 3.4161e+43 1.9585e+42 1.0397e+42 4.1236e+42 3.0682e+42 9.148e+41 8.3834e+41 3.7257e+41 1.3401e+42 7.0529e+41 4.7094e+42 2.1265e+41 5.1568e+41 1.0403e+41 6.4442e+40 2.4403e+42 1.6405e+42
-2.0 0.3 1000.0 -1.4 3.0324e+42 1.2691e+42 8.9227e+42 2.6857e+43 8.6888e+41 6.1042e+41 3.6798e+42 1.8014e+42 5.341e+41 5.196e+41 1.2732e+41 6.5597e+41 3.3261e+41 3.5526e+42 9.9662e+40 2.4111e+41 6.2453e+40 3.8999e+40 1.3075e+42 8.8043e+41
-2.0 0.3 1000.0 -1.7 1.7688e+42 1.0541e+42 5.2505e+42 1.5804e+43 2.0932e+41 3.2245e+41 3.0833e+42 9.5155e+41 2.537e+41 2.7995e+41 3.2141e+40 1.3668e+41 7.6892e+40 2.0139e+42 2.3925e+40 5.7787e+40 2.7042e+40 1.742e+40 4.1837e+41 2.8245e+41
-2.0 0.3 1000.0 -2.0 1.1673e+42 8.5027e+41 2.7348e+42 8.2318e+42 7.8282e+40 2.2292e+41 2.5143e+42 6.5782e+41 1.5701e+41 1.8939e+41 1.9156e+40 3.2672e+40 2.4389e+40 1.0271e+42 5.0295e+39 1.2165e+40 1.0984e+40 7.7218e+39 1.1854e+41 8.0225e+40
-2.0 0.3 10000.0 -1.2 8.032e+42 2.6209e+42 1.4901e+43 4.4853e+43 4.0524e+42 3.116e+42 7.6434e+42 9.1954e+42 1.3092e+42 2.0303e+42 1.5875e+40 2.1129e+41 1.2463e+41 4.8382e+42 1.0078e+41 2.4714e+41 1.84e+41 1.6401e+41 1.7171e+42 1.477e+42
-2.0 0.3 10000.0 -1.4 5.9206e+42 2.2984e+42 1.0935e+43 3.2915e+43 2.0179e+42 2.2385e+42 6.701e+42 6.6059e+42 8.0633e+41 1.3276e+42 1.2723e+40 8.5331e+40 5.3015e+40 3.5778e+42 4.8607e+40 1.1924e+41 1.1027e+41 9.956e+40 9.2179e+41 7.9921e+41
-2.0 0.3 10000.0 -1.7 3.9241e+42 1.7611e+42 5.7678e+42 1.7361e+43 7.6886e+41 1.5126e+42 5.1466e+42 4.4636e+42 4.5354e+41 8.1605e+41 6.0238e+39 2.3759e+40 1.7824e+40 1.9507e+42 1.3479e+40 3.3104e+40 4.0785e+40 3.7573e+40 3.1633e+41 2.7655e+41
-2.0 0.3 10000.0 -2.0 2.6638e+42 1.2839e+42 2.6554e+42 7.9929e+42 3.9436e+41 1.1303e+42 3.7624e+42 3.3355e+42 3.0834e+41 5.855e+41 1.1739e+39 1.2324e+40 1.0639e+40 9.5486e+41 3.5345e+39 8.6927e+39 1.3213e+40 1.2424e+40 1.0608e+41 9.3272e+40
-2.0 0.5 100.0 -1.2 3.6055e+42 5.7287e+41 2.8302e+42 8.5189e+42 1.6203e+42 9.0532e+41 1.7449e+42 2.6716e+42 8.2922e+41 5.9013e+41 1.1043e+42 9.7642e+41 7.4431e+41 2.4908e+42 1.3665e+41 3.3483e+41 2.0859e+40 1.2354e+40 1.4205e+42 9.3048e+41
-2.0 0.5 100.0 -1.4 2.1329e+42 4.281e+41 2.472e+42 7.4407e+42 8.6202e+41 4.985e+41 1.2639e+42 1.4711e+42 4.8929e+41 3.5056e+41 6.9387e+41 6.5809e+41 5.0294e+41 1.998e+42 9.3839e+40 2.2969e+41 1.6189e+40 9.5961e+39 9.5786e+41 6.2748e+41
-2.0 0.5 100.0 -1.7 9.4649e+41 2.9478e+41 1.8165e+42 5.4678e+42 2.6813e+41 1.9256e+41 8.4829e+41 5.6826e+41 2.1565e+41 1.5738e+41 2.8603e+41 3.0716e+41 2.3274e+41 1.2848e+42 4.2269e+40 1.032e+41 8.4009e+39 5e+39 4.3345e+41 2.8399e+41
-2.0 0.5 100.0 -2.0 4.7969e+41 2.2845e+41 1.2034e+42 3.6223e+42 6.6871e+40 8.8584e+40 6.5814e+41 2.6141e+41 1.0493e+41 7.8581e+40 9.9233e+40 1.2765e+41 9.4772e+40 7.5688e+41 1.4771e+40 3.5924e+40 3.4232e+39 2.0804e+39 1.6468e+41 1.0793e+41
-2.0 0.5 1000.0 -1.2 4.6958e+42 1.0907e+42 7.9581e+42 2.3954e+43 2.2394e+42 1.244e+42 3.1828e+42 3.6711e+42 1.2431e+42 1.0719e+42 6.6866e+41 1.2354e+42 9.4125e+41 4.2284e+42 2.6121e+41 6.3832e+41 4.5886e+40 2.8273e+40 2.5765e+42 1.7291e+42
-2.0 0.5 1000.0 -1.4 3.0915e+42 9.4843e+41 6.8235e+42 2.0539e+43 1.1652e+42 7.5349e+41 2.7344e+42 2.2235e+42 7.7463e+41 6.9708e+41 2.7632e+41 6.7688e+41 5.0551e+41 3.2634e+42 1.4801e+41 3.6116e+41 3.1447e+40 1.9453e+40 1.5837e+42 1.0643e+42
-2.0 0.5 1000.0 -1.7 1.8121e+42 7.9388e+41 4.5288e+42 1.3632e+43 3.5888e+41 3.9972e+41 2.2935e+42 1.1796e+42 3.7299e+41 3.7466e+41 5.6312e+40 2.0904e+41 1.4748e+41 1.9088e+42 4.5722e+40 1.1139e+41 1.5643e+40 9.7973e+39 6.0879e+41 4.1008e+41
-2.0 0.5 1000.0 -2.0 1.2109e+42 6.6405e+41 2.5837e+42 7.7771e+42 1.1777e+41 2.6818e+41 1.9388e+42 7.9139e+41 2.186e+41 2.4384e+41 2.2252e+40 5.4737e+40 4.1583e+40 9.9484e+41 1.1439e+40 2.7873e+40 7.3096e+39 4.7243e+39 1.9821e+41 1.3379e+41
