## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1      1000           0.14               100      6.959e+05        3.924e+07        2.896e+07           8.718e+07            2.677e+03        1.117e+08       7.901e+03           1.851e+04           2.162e+04           9.466e+04        8.488e+06         4.586e+06         1.286e+06          5.125e+06           1.254e+07           1.685e+06             2.714e+06            3.570e+06 
   -1.0           0.1      1000           0.14               300      9.428e+05        5.728e+07        4.261e+07           1.282e+08            3.734e+03        1.638e+08       1.102e+04           2.914e+04           3.400e+04           1.581e+05        1.412e+07         7.549e+06         2.843e+06          7.763e+06           1.901e+07           2.181e+06             3.512e+06            4.622e+06 
   -1.0           0.1       100           0.10               100      1.096e+06        3.906e+07        2.980e+07           8.969e+07            3.605e+03        1.116e+08       1.064e+04           2.945e+04           2.273e+04           9.423e+04        6.551e+06         3.608e+06         1.283e+06          5.451e+06           1.334e+07           1.392e+06             2.218e+06            2.799e+06 
   -1.0           0.1       100           0.10               300      1.352e+06        5.707e+07        4.391e+07           1.322e+08            4.558e+03        1.637e+08       1.345e+04           4.602e+04           3.550e+04           1.574e+05        1.089e+07         5.892e+06         2.842e+06          8.264e+06           2.024e+07           1.771e+06             2.822e+06            3.634e+06 
   -1.0           0.1      1000           0.10               100      7.029e+05        3.926e+07        2.932e+07           8.826e+07            2.686e+03        1.118e+08       7.927e+03           1.869e+04           2.183e+04           9.475e+04        6.382e+06         3.523e+06         1.287e+06          5.223e+06           1.278e+07           1.708e+06             2.751e+06            2.592e+06 
   -1.0           0.1      1000           0.10               300      9.522e+05        5.732e+07        4.313e+07           1.298e+08            3.746e+03        1.639e+08       1.105e+04           2.942e+04           3.433e+04           1.582e+05        1.056e+07         5.728e+06         2.845e+06          7.912e+06           1.938e+07           2.210e+06             3.560e+06            3.356e+06 
   -1.0           0.3       100           1.40               100      5.881e+05        3.155e+07        1.551e+07           4.670e+07            2.746e+03        9.023e+07       8.105e+03           1.991e+04           1.536e+04           9.107e+04        2.110e+07         1.076e+07         1.163e+06          2.658e+06           6.527e+06           3.888e+05             6.199e+05            1.702e+07 
   -1.0           0.3       100           1.40               300      7.584e+05        4.687e+07        2.317e+07           6.974e+07            3.635e+03        1.346e+08       1.073e+04           3.155e+04           2.434e+04           1.533e+05        3.598e+07         1.829e+07         2.584e+06          4.064e+06           9.983e+06           5.066e+05             8.074e+05            2.245e+07 
   -1.0           0.3      1000           1.40               100      3.863e+05        3.185e+07        1.533e+07           4.614e+07            2.108e+03        9.075e+07       6.220e+03           1.271e+04           1.484e+04           9.161e+04        2.073e+07         1.055e+07         1.167e+06          2.551e+06           6.265e+06           4.857e+05             7.826e+05            1.586e+07 
   -1.0           0.3      1000           1.40               300      5.421e+05        4.727e+07        2.286e+07           6.881e+07            3.041e+03        1.353e+08       8.973e+03           2.027e+04           2.366e+04           1.541e+05        3.521e+07         1.787e+07         2.588e+06          3.898e+06           9.577e+06           6.437e+05             1.037e+06            2.087e+07 
   -1.0           0.3       100           1.00               100      6.295e+05        3.158e+07        1.680e+07           5.056e+07            2.801e+03        9.036e+07       8.265e+03           2.139e+04           1.650e+04           9.187e+04        1.655e+07         8.717e+06         1.166e+06          2.957e+06           7.260e+06           4.150e+05             6.617e+05            1.334e+07 
