## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           0.10               300      3.577e+06        5.091e+07        8.210e+07           2.471e+08            1.421e+04        1.452e+08       4.194e+04           1.006e+05           7.766e+04           3.060e+05        9.440e+06         5.473e+06         2.478e+06          1.169e+07           2.816e+07           2.946e+06             4.698e+06            5.657e+06 
   -1.0           0.1      1000           0.10               100      1.879e+06        3.055e+07        4.598e+07           1.384e+08            8.339e+03        8.650e+07       2.461e+04           3.616e+04           4.237e+04           1.420e+05        4.491e+06         2.681e+06         8.914e+05          5.932e+06           1.427e+07           2.442e+06             3.940e+06            3.377e+06 
   -1.0           0.1      1000           0.10               300      2.550e+06        5.135e+07        8.136e+07           2.449e+08            1.163e+04        1.460e+08       3.432e+04           6.448e+04           7.547e+04           3.069e+05        9.271e+06         5.368e+06         2.482e+06          1.133e+07           2.729e+07           3.607e+06             5.814e+06            5.331e+06 
   -1.0           0.3       100           1.40               100      1.370e+06        2.100e+07        2.115e+07           6.366e+07            7.248e+03        5.980e+07       2.139e+04           3.492e+04           2.696e+04           1.368e+05        1.447e+07         7.062e+06         7.561e+05          2.686e+06           6.535e+06           5.442e+05             8.687e+05            2.009e+07 
   -1.0           0.3       100           1.40               300      1.840e+06        3.595e+07        3.756e+07           1.130e+08            9.979e+03        1.028e+08       2.945e+04           6.292e+04           4.855e+04           2.982e+05        3.052e+07         1.465e+07         2.129e+06          5.040e+06           1.227e+07           8.025e+05             1.280e+06            3.152e+07 
   -1.0           0.3      1000           1.40               100      9.182e+05        2.128e+07        2.108e+07           6.346e+07            5.583e+03        6.037e+07       1.647e+04           2.239e+04           2.622e+04           1.371e+05        1.436e+07         6.997e+06         7.587e+05          2.610e+06           6.349e+06           6.495e+05             1.048e+06            1.909e+07 
   -1.0           0.3      1000           1.40               300      1.334e+06        3.643e+07        3.737e+07           1.125e+08            8.357e+03        1.037e+08       2.466e+04           4.050e+04           4.738e+04           2.990e+05        3.018e+07         1.447e+07         2.133e+06          4.891e+06           1.191e+07           9.779e+05             1.577e+06            2.986e+07 
   -1.0           0.3       100           1.00               100      1.426e+06        2.055e+07        2.248e+07           6.766e+07            7.234e+03        5.854e+07       2.135e+04           3.692e+04           2.850e+04           1.381e+05        1.079e+07         5.440e+06         7.517e+05          2.956e+06           7.185e+06           5.695e+05             9.091e+05            1.543e+07 
   -1.0           0.3       100           1.00               300      1.928e+06        3.524e+07        3.999e+07           1.204e+08            1.002e+04        1.008e+08       2.957e+04           6.663e+04           5.141e+04           2.994e+05        2.265e+07         1.119e+07         2.116e+06          5.566e+06           1.354e+07           8.430e+05             1.344e+06            2.432e+07 
   -1.0           0.3      1000           1.00               100      9.587e+05        2.083e+07        2.240e+07           6.743e+07            5.587e+03        5.911e+07       1.649e+04           2.368e+04           2.773e+04           1.384e+05        1.070e+07         5.382e+06         7.543e+05          2.870e+06           6.975e+06           6.807e+05             1.099e+06            1.465e+07 
   -1.0           0.3      1000           1.00               300      1.400e+06        3.571e+07        3.979e+07           1.198e+08            8.411e+03        1.017e+08       2.482e+04           4.290e+04           5.018e+04           3.002e+05        2.238e+07         1.104e+07         2.120e+06          5.397e+06           1.313e+07           1.028e+06             1.658e+06            2.302e+07 
   -1.0           0.3       100           0.72               100      1.497e+06        2.054e+07        2.393e+07           7.202e+07            7.358e+03        5.854e+07       2.171e+04           3.894e+04           3.006e+04           1.390e+05        8.333e+06         4.382e+06         7.535e+05          3.238e+06           7.864e+06           5.977e+05             9.540e+05            1.195e+07 
   -1.0           0.3       100           0.72               300      2.024e+06        3.524e+07        4.262e+07           1.283e+08            1.020e+04        1.009e+08       3.009e+04           7.029e+04           5.423e+04           3.005e+05        1.741e+07         8.925e+06         2.119e+06          6.114e+06           1.486e+07           8.860e+05             1.413e+06            1.889e+07 
   -1.0           0.3      1000           0.72               100      1.007e+06        2.082e+07        2.384e+07           7.176e+07            5.685e+03        5.910e+07       1.677e+04           2.497e+04           2.923e+04           1.393e+05        8.259e+06         4.329e+06         7.560e+05          3.141e+06           7.628e+06           7.154e+05             1.154e+06            1.134e+07 
   -1.0           0.3      1000           0.72               300      1.472e+06        3.571e+07        4.239e+07           1.276e+08            8.565e+03        1.018e+08       2.528e+04           4.525e+04           5.294e+04           3.014e+05        1.719e+07         8.789e+06         2.123e+06          5.924e+06           1.440e+07           1.081e+06             1.744e+06            1.786e+07 
   -1.0           0.3       100           0.52               100      1.551e+06        2.053e+07        2.510e+07           7.556e+07            7.451e+03        5.854e+07       2.199e+04           4.053e+04           3.128e+04           1.397e+05        6.438e+06         3.618e+06         7.550e+05          3.481e+06           8.448e+06           6.198e+05             9.893e+05            9.141e+06 
   -1.0           0.3       100           0.52               300      2.100e+06        3.524e+07        4.476e+07           1.347e+08            1.034e+04        1.009e+08       3.050e+04           7.319e+04           5.647e+04           3.014e+05        1.335e+07         7.270e+06         2.123e+06          6.587e+06           1.601e+07           9.199e+05             1.467e+06            1.448e+07 
   -1.0           0.3      1000           0.52               100      1.045e+06        2.081e+07        2.500e+07           7.526e+07            5.761e+03        5.910e+07       1.700e+04           2.599e+04           3.042e+04           1.400e+05        6.372e+06         3.558e+06         7.575e+05          3.374e+06           8.189e+06           7.430e+05             1.199e+06            8.665e+06 
   -1.0           0.3      1000           0.52               300      1.528e+06        3.571e+07        4.450e+07           1.340e+08            8.684e+03        1.018e+08       2.563e+04           4.711e+04           5.511e+04           3.022e+05        1.316e+07         7.133e+06         2.126e+06          6.378e+06           1.550e+07           1.124e+06             1.812e+06            1.368e+07 
   -1.0           0.3       100           0.38               100      1.592e+06        2.053e+07        2.601e+07           7.829e+07            7.521e+03        5.853e+07       2.219e+04           4.172e+04           3.221e+04           1.402e+05        5.054e+06         3.206e+06         7.562e+05          3.678e+06           8.923e+06           6.365e+05             1.016e+06            6.975e+06 
   -1.0           0.3       100           0.38               300      2.157e+06        3.524e+07        4.641e+07           1.397e+08            1.044e+04        1.009e+08       3.079e+04           7.537e+04           5.815e+04           3.020e+05        1.037e+07         6.333e+06         2.125e+06          6.972e+06           1.693e+07           9.454e+05             1.508e+06            1.106e+07 
   -1.0           0.3      1000           0.38               100      1.073e+06        2.081e+07        2.590e+07           7.797e+07            5.817e+03        5.909e+07       1.717e+04           2.676e+04           3.132e+04           1.405e+05        4.991e+06         3.140e+06         7.587e+05          3.563e+06           8.643e+06           7.636e+05             1.232e+06            6.607e+06 
   -1.0           0.3      1000           0.38               300      1.570e+06        3.571e+07        4.614e+07           1.389e+08            8.772e+03        1.019e+08       2.589e+04           4.852e+04           5.675e+04           3.029e+05        1.021e+07         6.184e+06         2.129e+06          6.747e+06           1.639e+07           1.156e+06             1.863e+06            1.045e+07 
   -1.0           0.3       100           0.27               100      1.626e+06        2.052e+07        2.678e+07           8.062e+07            7.579e+03        5.853e+07       2.236e+04           4.272e+04           3.298e+04           1.406e+05        3.979e+06         2.931e+06         7.572e+05          3.852e+06           9.342e+06           6.502e+05             1.038e+06            5.138e+06 
   -1.0           0.3       100           0.27               300      2.204e+06        3.524e+07        4.783e+07           1.440e+08            1.052e+04        1.010e+08       3.104e+04           7.720e+04           5.956e+04           3.025e+05        8.053e+06         5.818e+06         2.128e+06          7.315e+06           1.776e+07           9.668e+05             1.542e+06            8.164e+06 
   -1.0           0.3      1000           0.27               100      1.096e+06        2.080e+07        2.667e+07           8.027e+07            5.864e+03        5.909e+07       1.731e+04           2.740e+04           3.207e+04           1.409e+05        3.915e+06         2.869e+06         7.598e+05          3.729e+06           9.045e+06           7.811e+05             1.260e+06            4.864e+06 
   -1.0           0.3      1000           0.27               300      1.605e+06        3.571e+07        4.753e+07           1.431e+08            8.846e+03        1.019e+08       2.610e+04           4.969e+04           5.812e+04           3.034e+05        7.902e+06         5.677e+06         2.131e+06          7.075e+06           1.718e+07           1.183e+06             1.907e+06            7.705e+06 
   -1.0           0.3       100           0.20               100      1.649e+06        2.052e+07        2.731e+07           8.220e+07            7.616e+03        5.853e+07       2.248e+04           4.339e+04           3.349e+04           1.409e+05        3.446e+06         2.679e+06         7.579e+05          3.973e+06           9.635e+06           6.594e+05             1.052e+06            3.898e+06 
   -1.0           0.3       100           0.20               300      2.235e+06        3.525e+07        4.878e+07           1.468e+08            1.057e+04        1.010e+08       3.120e+04           7.841e+04           6.050e+04           3.028e+05        6.823e+06         5.327e+06         2.129e+06          7.555e+06           1.834e+07           9.811e+05             1.564e+06            6.201e+06 
   -1.0           0.3      1000           0.20               100      1.112e+06        2.080e+07        2.719e+07           8.183e+07            5.895e+03        5.909e+07       1.740e+04           2.782e+04           3.257e+04           1.412e+05        3.374e+06         2.624e+06         7.605e+05          3.846e+06           9.325e+06           7.927e+05             1.279e+06            3.689e+06 
   -1.0           0.3      1000           0.20               300      1.628e+06        3.571e+07        4.848e+07           1.459e+08            8.895e+03        1.019e+08       2.625e+04           5.047e+04           5.903e+04           3.037e+05        6.662e+06         5.200e+06         2.133e+06          7.304e+06           1.773e+07           1.201e+06             1.936e+06            5.851e+06 
   -1.0           0.3       100           0.14               100      1.629e+06        2.008e+07        2.721e+07           8.189e+07            7.471e+03        5.731e+07       2.205e+04           4.332e+04           3.344e+04           1.411e+05        3.051e+06         2.317e+06         7.519e+05          4.009e+06           9.719e+06           6.551e+05             1.045e+06            2.732e+06 
   -1.0           0.3       100           0.14               300      2.220e+06        3.454e+07        4.865e+07           1.464e+08            1.043e+04        9.901e+07       3.077e+04           7.838e+04           6.048e+04           3.027e+05        6.057e+06         4.599e+06         2.113e+06          7.631e+06           1.852e+07           9.766e+05             1.557e+06            4.353e+06 
   -1.0           0.3      1000           0.14               100      1.100e+06        2.036e+07        2.709e+07           8.153e+07            5.793e+03        5.786e+07       1.709e+04           2.779e+04           3.253e+04           1.413e+05        2.984e+06         2.271e+06         7.544e+05          3.879e+06           9.405e+06           7.878e+05             1.271e+06            2.585e+06 
   -1.0           0.3      1000           0.14               300      1.620e+06        3.500e+07        4.835e+07           1.455e+08            8.785e+03        9.991e+07       2.593e+04           5.047e+04           5.903e+04           3.036e+05        5.905e+06         4.493e+06         2.116e+06          7.377e+06           1.791e+07           1.196e+06             1.928e+06            4.107e+06 
   -1.0           0.3       100           0.10               100      1.642e+06        2.008e+07        2.752e+07           8.284e+07            7.493e+03        5.730e+07       2.211e+04           4.372e+04           3.374e+04           1.412e+05        2.737e+06         1.993e+06         7.524e+05          4.086e+06           9.905e+06           6.605e+05             1.054e+06            1.980e+06 
   -1.0           0.3       100           0.10               300      2.238e+06        3.454e+07        4.923e+07           1.482e+08            1.046e+04        9.902e+07       3.087e+04           7.911e+04           6.104e+04           3.029e+05        5.439e+06         3.939e+06         2.114e+06          7.784e+06           1.889e+07           9.851e+05             1.571e+06            3.158e+06 
   -1.0           0.3      1000           0.10               100      1.110e+06        2.036e+07        2.740e+07           8.248e+07            5.811e+03        5.785e+07       1.715e+04           2.804e+04           3.283e+04           1.415e+05        2.680e+06         1.957e+06         7.548e+05          3.953e+06           9.583e+06           7.946e+05             1.282e+06            1.873e+06 
   -1.0           0.3      1000           0.10               300      1.633e+06        3.500e+07        4.893e+07           1.473e+08            8.813e+03        9.992e+07       2.601e+04           5.093e+04           5.957e+04           3.038e+05        5.307e+06         3.853e+06         2.117e+06          7.523e+06           1.826e+07           1.206e+06             1.945e+06            2.978e+06 
   -1.0           0.5       100           1.40               100      7.767e+05        1.535e+07        1.289e+07           3.879e+07            5.267e+03        4.391e+07       1.554e+04           2.882e+04           2.224e+04           1.361e+05        6.394e+06         3.592e+06         6.690e+05          1.884e+06           4.607e+06           1.128e+05             1.800e+05            1.184e+07 
   -1.0           0.5       100           1.40               300      1.123e+06        2.676e+07        2.305e+07           6.938e+07            7.814e+03        7.687e+07       2.306e+04           5.269e+04           4.065e+04           2.955e+05        1.321e+07         7.132e+06         1.887e+06          3.533e+06           8.644e+06           1.702e+05             2.714e+05            1.875e+07 
