## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1      1000           0.14               300      3.915e+06        7.883e+06        3.416e+07           1.028e+08            9.677e+04        2.264e+07       2.856e+05           1.205e+05           1.455e+05           6.867e+05        4.524e+05         4.682e+05         3.374e+05          4.422e+05           9.239e+05           5.370e+05             8.907e+05            9.678e+05 
   -1.0           0.1       100           0.10               100      2.819e+06        4.465e+06        1.598e+07           4.809e+07            6.670e+04        1.297e+07       1.968e+05           9.252e+04           7.154e+04           4.177e+05        2.919e+05         3.001e+05         6.252e+04          1.725e+05           3.582e+05           1.861e+05             3.154e+05            3.209e+05 
   -1.0           0.1       100           0.10               300      3.954e+06        7.821e+06        3.097e+07           9.321e+07            9.979e+04        2.267e+07       2.945e+05           1.815e+05           1.402e+05           6.840e+05        3.845e+05         4.139e+05         3.387e+05          3.638e+05           7.602e+05           2.823e+05             4.699e+05            5.812e+05 
   -1.0           0.1      1000           0.10               100      2.828e+06        4.461e+06        1.773e+07           5.336e+07            6.242e+04        1.283e+07       1.842e+05           6.156e+04           7.466e+04           4.118e+05        3.039e+05         3.129e+05         6.254e+04          2.120e+05           4.395e+05           3.206e+05             5.389e+05            3.845e+05 
   -1.0           0.1      1000           0.10               300      3.905e+06        7.824e+06        3.403e+07           1.024e+08            9.645e+04        2.247e+07       2.846e+05           1.206e+05           1.457e+05           6.870e+05        4.070e+05         4.363e+05         3.372e+05          4.387e+05           9.162e+05           5.323e+05             8.832e+05            6.811e+05 
   -1.0           0.3       100           1.40               100      8.790e+05        1.060e+06        4.769e+06           1.435e+07            1.953e+04        3.022e+06       5.763e+04           3.380e+04           2.611e+04           3.993e+05        4.577e+05         4.220e+05         3.771e+04          1.105e+05           2.479e+05           4.798e+04             8.314e+04            2.073e+06 
   -1.0           0.3       100           1.40               300      1.372e+06        1.916e+06        9.229e+06           2.778e+07            3.282e+04        5.463e+06       9.684e+04           6.769e+04           5.226e+04           6.555e+05        7.175e+05         6.239e+05         2.054e+05          2.247e+05           5.078e+05           7.375e+04             1.243e+05            3.624e+06 
   -1.0           0.3      1000           1.40               100      8.257e+05        1.066e+06        4.980e+06           1.499e+07            1.845e+04        3.020e+06       5.446e+04           2.218e+04           2.662e+04           3.934e+05        4.694e+05         4.295e+05         3.772e+04          1.199e+05           2.689e+05           7.413e+04             1.267e+05            2.220e+06 
   -1.0           0.3      1000           1.40               300      1.281e+06        1.931e+06        9.582e+06           2.884e+07            3.170e+04        5.468e+06       9.354e+04           4.443e+04           5.316e+04           6.567e+05        7.454e+05         6.406e+05         2.050e+05          2.411e+05           5.449e+05           1.212e+05             2.029e+05            3.837e+06 
   -1.0           0.3       100           1.00               100      8.908e+05        1.045e+06        4.863e+06           1.464e+07            1.985e+04        2.981e+06       5.859e+04           3.518e+04           2.717e+04           4.039e+05        4.072e+05         3.900e+05         3.764e+04          1.092e+05           2.440e+05           4.594e+04             7.994e+04            1.436e+06 
