# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 10000.0 -1.4 1.0384e+42 2.975e+42 2.2741e+42 6.845e+42 5.3367e+41 2.3209e+40 8.9092e+42 6.8489e+40 2.3531e+41 2.6229e+41 8.2855e+38 4.4126e+41 2.2743e+41 3.781e+42 1.3037e+41 3.2126e+41 4.2602e+41 3.4748e+41 1.4489e+42 1.1801e+42
-2.5 0.1 10000.0 -1.7 8.8906e+41 2.1449e+42 1.5529e+42 4.6741e+42 2.3453e+41 1.6418e+40 6.3367e+42 4.8449e+40 1.1388e+41 1.3999e+41 1.4914e+38 1.4755e+41 7.8853e+40 2.0422e+42 7.2331e+40 1.7825e+41 2.9979e+41 2.4628e+41 8.4975e+41 6.9564e+41
-2.5 0.1 10000.0 -2.0 7.6831e+41 1.4887e+42 8.7387e+41 2.6303e+42 1.0939e+41 1.2626e+40 4.3648e+42 3.7258e+40 6.199e+40 8.5196e+40 1.8063e+37 4.0621e+40 2.3046e+40 9.9706e+41 3.2014e+40 7.8898e+40 1.7089e+41 1.4155e+41 4.2306e+41 3.4825e+41
-2.5 0.3 100.0 -1.2 1.3874e+42 3.3658e+42 2.4345e+42 7.3277e+42 6.2975e+41 1.4627e+40 1.0288e+43 4.3164e+40 5.025e+41 3.5417e+41 6.2398e+40 2.2205e+42 1.174e+42 5.3679e+42 2.3765e+41 5.8554e+41 1.9619e+41 1.161e+41 2.0921e+42 1.3701e+42
-2.5 0.3 100.0 -1.4 1.2058e+42 2.8087e+42 2.3259e+42 7.0008e+42 3.445e+41 1.0873e+40 8.455e+42 3.2087e+40 3.0958e+41 2.2045e+41 5.1562e+40 1.8513e+42 9.817e+41 3.9327e+42 2.1505e+41 5.2981e+41 2.0719e+41 1.2262e+41 1.889e+42 1.2371e+42
-2.5 0.3 100.0 -1.7 9.067e+41 1.9986e+42 1.8459e+42 5.5563e+42 1.2482e+41 7.0938e+39 5.918e+42 2.0934e+40 1.4733e+41 1.0704e+41 3.4309e+40 1.1724e+42 6.2553e+41 2.1332e+42 1.5279e+41 3.7641e+41 1.8262e+41 1.0812e+41 1.3517e+42 8.8523e+41
-2.5 0.3 100.0 -2.0 6.58e+41 1.379e+42 1.3118e+42 3.9485e+42 4.3812e+40 4.7825e+39 4.0423e+42 1.4113e+40 7.4775e+40 5.5509e+40 2.0936e+40 6.5303e+41 3.5175e+41 1.0539e+42 9.4999e+40 2.3401e+41 1.3772e+41 8.159e+40 8.5622e+41 5.6077e+41
-2.5 0.3 1000.0 -1.2 1.2435e+42 3.4254e+42 2.4611e+42 7.4079e+42 6.7854e+41 1.6945e+40 1.0439e+43 5.0004e+40 5.1519e+41 3.9625e+41 4.9413e+40 2.2411e+42 1.1769e+42 5.3887e+42 2.3576e+41 5.8087e+41 1.9736e+41 1.2054e+41 2.0896e+42 1.3959e+42
-2.5 0.3 1000.0 -1.4 1.08e+42 2.8636e+42 2.3516e+42 7.0783e+42 3.7327e+41 1.2559e+40 8.5931e+42 3.7062e+40 3.0589e+41 2.4455e+41 3.5182e+40 1.8253e+42 9.591e+41 3.9475e+42 2.1222e+41 5.2285e+41 2.0967e+41 1.281e+41 1.8864e+42 1.2604e+42
-2.5 0.3 1000.0 -1.7 8.2318e+41 2.0483e+42 1.8638e+42 5.6101e+42 1.384e+41 8.0785e+39 6.0462e+42 2.384e+40 1.3658e+41 1.185e+41 1.5153e+40 1.0535e+42 5.5523e+41 2.1405e+42 1.4818e+41 3.6506e+41 1.8849e+41 1.1524e+41 1.3441e+42 8.9843e+41
